ID,Name,Alignment,Gender,EyeColor,Race,HairColor,Publisher,SkinColor,Height,Weight
0,A-Bomb,good,Male,yellow,Human,No Hair,Marvel Comics,-,203.0,441.0
1,Abe Sapien,good,Male,blue,Icthyo Sapien,No Hair,Dark Horse Comics,blue,191.0,65.0
2,Abin Sur,good,Male,blue,Ungaran,No Hair,DC Comics,red,185.0,90.0
3,Abomination,bad,Male,green,Human / Radiation,No Hair,Marvel Comics,-,203.0,441.0
4,Abraxas,bad,Male,blue,Cosmic Entity,Black,Marvel Comics,-,-99.0,-99.0
5,Absorbing Man,bad,Male,blue,Human,No Hair,Marvel Comics,-,193.0,122.0
6,Adam Monroe,good,Male,blue,-,Blond,NBC - Heroes,-,-99.0,-99.0
7,Adam Strange,good,Male,blue,Human,Blond,DC Comics,-,185.0,88.0
8,Agent 13,good,Female,blue,-,Blond,Marvel Comics,-,173.0,61.0
9,Agent Bob,good,Male,brown,Human,Brown,Marvel Comics,-,178.0,81.0
10,Agent Zero,good,Male,-,-,-,Marvel Comics,-,191.0,104.0
11,Air-Walker,bad,Male,blue,-,White,Marvel Comics,-,188.0,108.0
12,Ajax,bad,Male,brown,Cyborg,Black,Marvel Comics,-,193.0,90.0
13,Alan Scott,good,Male,blue,-,Blond,DC Comics,-,180.0,90.0
14,Alex Mercer,bad,Male,-,Human,-,Wildstorm,-,-99.0,-99.0
15,Alex Woolsly,good,Male,-,-,-,NBC - Heroes,-,-99.0,-99.0
16,Alfred Pennyworth,good,Male,blue,Human,Black,DC Comics,-,178.0,72.0
17,Alien,bad,Male,-,Xenomorph XX121,No Hair,Dark Horse Comics,black,244.0,169.0
18,Allan Quatermain,good,Male,-,-,-,Wildstorm,-,-99.0,-99.0
19,Amazo,bad,Male,red,Android,-,DC Comics,-,257.0,173.0
20,Ammo,bad,Male,brown,Human,Black,Marvel Comics,-,188.0,101.0
21,Ando Masahashi,good,Male,-,-,-,NBC - Heroes,-,-99.0,-99.0
22,Angel,good,Male,blue,-,Blond,Marvel Comics,-,183.0,68.0
23,Angel,good,Male,-,Vampire,-,Dark Horse Comics,-,-99.0,-99.0
24,Angel Dust,good,Female,yellow,Mutant,Black,Marvel Comics,-,165.0,57.0
25,Angel Salvadore,good,Female,brown,-,Black,Marvel Comics,-,163.0,54.0
26,Angela,bad,Female,-,-,-,Image Comics,-,-99.0,-99.0
27,Animal Man,good,Male,blue,Human,Blond,DC Comics,-,183.0,83.0
28,Annihilus,bad,Male,green,-,No Hair,Marvel Comics,-,180.0,90.0
29,Ant-Man,good,Male,blue,Human,Blond,Marvel Comics,-,211.0,122.0
30,Ant-Man II,good,Male,blue,Human,Blond,Marvel Comics,-,183.0,86.0
31,Anti-Monitor,bad,Male,yellow,God / Eternal,No Hair,DC Comics,-,61.0,-99.0
32,Anti-Spawn,bad,Male,-,-,-,Image Comics,-,-99.0,-99.0
33,Anti-Venom,-,Male,blue,Symbiote,Blond,Marvel Comics,-,229.0,358.0
34,Apocalypse,bad,Male,red,Mutant,Black,Marvel Comics,grey,213.0,135.0
35,Aquababy,good,Male,blue,-,Blond,DC Comics,-,-99.0,-99.0
36,Aqualad,good,Male,blue,Atlantean,Black,DC Comics,-,178.0,106.0
37,Aquaman,good,Male,blue,Atlantean,Blond,DC Comics,-,185.0,146.0
38,Arachne,good,Female,blue,Human,Blond,Marvel Comics,-,175.0,63.0
39,Archangel,good,Male,blue,Mutant,Blond,Marvel Comics,blue,183.0,68.0
40,Arclight,bad,Female,violet,-,Purple,Marvel Comics,-,173.0,57.0
41,Ardina,good,Female,white,Alien,Orange,Marvel Comics,gold,193.0,98.0
42,Ares,good,Male,brown,-,Brown,Marvel Comics,-,185.0,270.0
43,Ariel,good,Female,purple,-,Pink,Marvel Comics,-,165.0,59.0
44,Armor,good,Female,black,-,Black,Marvel Comics,-,163.0,50.0
45,Arsenal,good,Male,-,Human,-,DC Comics,-,-99.0,-99.0
46,Astro Boy,good,Male,brown,-,Black,,-,-99.0,-99.0
47,Atlas,good,Male,brown,Mutant,Red,Marvel Comics,-,183.0,101.0
48,Atlas,bad,Male,blue,God / Eternal,Brown,DC Comics,-,198.0,126.0
49,Atom,good,Male,blue,-,Red,DC Comics,-,178.0,68.0
50,Atom,good,Male,-,-,-,DC Comics,-,-99.0,-99.0
51,Atom Girl,good,Female,black,-,Black,DC Comics,-,168.0,54.0
52,Atom II,good,Male,brown,Human,Auburn,DC Comics,-,183.0,81.0
53,Atom III,good,Male,-,-,Red,DC Comics,-,-99.0,-99.0
54,Atom IV,good,Male,brown,-,Black,DC Comics,-,-99.0,72.0
55,Aurora,good,Female,blue,Mutant,Black,Marvel Comics,-,180.0,63.0
56,Azazel,bad,Male,yellow,Neyaphem,Black,Marvel Comics,red,183.0,67.0
57,Azrael,good,Male,brown,Human,Black,DC Comics,-,-99.0,-99.0
58,Aztar,good,Male,-,-,-,DC Comics,-,-99.0,-99.0
