Nombre,Alineamiento,Genero,Raza,Editorial,Color de piel,Altura,Peso,Categoria_Peso
A-Bomb,good,Male,Human,Marvel Comics,-,203.0,441.0,Pesados
Abe Sapien,good,Male,Icthyo Sapien,Dark Horse Comics,blue,191.0,65.0,Livianos
Abin Sur,good,Male,Ungaran,DC Comics,red,185.0,90.0,Livianos
Abomination,bad,Male,Human / Radiation,Marvel Comics,-,203.0,441.0,Pesados
Abraxas,bad,Male,Cosmic Entity,Marvel Comics,-,-99.0,-99.0,
Absorbing Man,bad,Male,Human,Marvel Comics,-,193.0,122.0,Livianos
Adam Monroe,good,Male,Human,NBC - Heroes,-,183.0,-99.0,
Adam Strange,good,Male,Human,DC Comics,-,185.0,88.0,Livianos
Agent 13,good,Female,-,Marvel Comics,-,173.0,61.0,Livianos
Agent Bob,good,Male,Human,Marvel Comics,-,178.0,81.0,Livianos
Agent Zero,good,Male,-,Marvel Comics,-,191.0,104.0,Livianos
Air-Walker,bad,Male,-,Marvel Comics,-,188.0,108.0,Livianos
Ajax,bad,Male,Cyborg,Marvel Comics,-,193.0,90.0,Livianos
Alan Scott,good,Male,-,DC Comics,-,180.0,90.0,Livianos
Alex Mercer,bad,Male,Human,Wildstorm,-,178.0,73.0,Livianos
Alex Woolsly,good,Male,-,NBC - Heroes,-,-99.0,-99.0,
Alfred Pennyworth,good,Male,Human,DC Comics,-,178.0,72.0,Livianos
Alien,bad,Male,Xenomorph XX121,Dark Horse Comics,black,244.0,169.0,Pesados
Allan Quatermain,good,Male,-,Wildstorm,-,-99.0,-99.0,
Amazo,bad,Male,Android,DC Comics,-,257.0,173.0,Pesados
Ammo,bad,Male,Human,Marvel Comics,-,188.0,101.0,Livianos
Ando Masahashi,good,Male,Human,NBC - Heroes,-,-99.0,-99.0,
Angel,good,Male,-,Marvel Comics,-,183.0,68.0,Livianos
Angel,good,Male,Vampire,Dark Horse Comics,-,-99.0,-99.0,
Angel Dust,good,Female,Mutant,Marvel Comics,-,165.0,57.0,Livianos
Angel Salvadore,good,Female,-,Marvel Comics,-,163.0,54.0,Livianos
Angela,bad,Female,-,Image Comics,-,-99.0,-99.0,
Animal Man,good,Male,Human,DC Comics,-,183.0,83.0,Livianos
Annihilus,bad,Male,-,Marvel Comics,-,180.0,90.0,Livianos
Ant-Man,good,Male,Human,Marvel Comics,-,211.0,122.0,Livianos
Ant-Man II,good,Male,Human,Marvel Comics,-,183.0,86.0,Livianos
Anti-Monitor,bad,Male,God / Eternal,DC Comics,-,61.0,-99.0,
Anti-Spawn,bad,Male,-,Image Comics,-,-99.0,-99.0,
Anti-Venom,-,Male,Symbiote,Marvel Comics,-,229.0,358.0,Pesados
Apocalypse,bad,Male,Mutant,Marvel Comics,grey,213.0,135.0,Livianos
Aquababy,good,Male,-,DC Comics,-,-99.0,-99.0,
Aqualad,good,Male,Atlantean,DC Comics,-,178.0,106.0,Livianos
Aquaman,good,Male,Atlantean,DC Comics,-,185.0,146.0,Livianos
Arachne,good,Female,Human,Marvel Comics,-,175.0,63.0,Livianos
Archangel,good,Male,Mutant,Marvel Comics,blue,183.0,68.0,Livianos
Arclight,bad,Female,-,Marvel Comics,-,173.0,57.0,Livianos
Ardina,good,Female,Alien,Marvel Comics,gold,193.0,98.0,Livianos
Ares,good,Male,-,Marvel Comics,-,185.0,270.0,Pesados
Ariel,good,Female,-,Marvel Comics,-,165.0,59.0,Livianos
Armor,good,Female,-,Marvel Comics,-,163.0,50.0,Livianos
Arsenal,good,Male,Human,DC Comics,-,180.0,84.0,Livianos
Atlas,good,Male,Mutant,Marvel Comics,-,183.0,101.0,Livianos
Atlas,bad,Male,God / Eternal,DC Comics,-,198.0,126.0,Livianos
Atom,good,Male,-,DC Comics,-,178.0,68.0,Livianos
Atom,good,Male,-,DC Comics,-,183.0,82.0,Livianos
Atom Girl,good,Female,-,DC Comics,-,168.0,54.0,Livianos
Atom II,good,Male,Human,DC Comics,-,183.0,81.0,Livianos
Atom III,good,Male,-,DC Comics,-,-99.0,-99.0,
Atom IV,good,Male,-,DC Comics,-,-99.0,72.0,Livianos
Aurora,good,Female,Mutant,Marvel Comics,-,180.0,63.0,Livianos
Azazel,bad,Male,Neyaphem,Marvel Comics,red,183.0,67.0,Livianos
Azrael,good,Male,Human,DC Comics,-,-99.0,-99.0,
Aztar,good,Male,-,DC Comics,-,186.0,83.0,Livianos
Bane,bad,Male,Human,DC Comics,-,203.0,180.0,Pesados
Banshee,good,Male,Human,Marvel Comics,-,183.0,77.0,Livianos
Bantam,good,Male,-,Marvel Comics,-,165.0,54.0,Livianos
